lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
F7,~,F6,0.07943012805499364,0.3200277719272077,0.003517192371250087,22.583390286434362,0.0
F6,~,F1,0.7801732634742102,0.8300386727902739,0.09333836771246098,8.358548393188752,0.0
F6,~,F2,0.3317676865224629,0.09681062132190343,0.9767782867717509,0.33965505889633807,0.7341163094444245
F6,~,F3,0.04041165625639758,0.08735187540954102,0.4939734946397595,0.08180936162533745,0.9347983115305565
F6,~,F4,-0.22470660232189063,-0.044779010183707266,2.2827246846651925,-0.09843789039971323,0.9215845885809193
F6,~,F5,0.5570492842329047,0.12984731871671454,1.1949807237156052,0.4661575481321415,0.6411027334182626
BFI_11,~,F1,1.0,0.4891059814610002,-,-,-
BFI_12,~,F1,0.8600875285480201,0.42021413922923806,0.034638288782831934,24.830543272954117,0.0
BFI_13,~,F1,0.461883907679073,0.22867202951615317,0.030651668600592888,15.06880143076681,0.0
BFI_21,~,F2,1.0,0.13490886224996623,-,-,-
BFI_22,~,F2,1.385455878330752,0.1867865553991469,0.2584291839350173,5.3610658720099025,8.273234031186405e-08
BFI_23,~,F2,0.7091946431599983,0.0953910071913152,0.18537488613699765,3.825732049982521,0.0001303840495956443
BFI_31,~,F3,1.0,1.0,-,-,-
BFI_32,~,F3,-0.00992356579539433,-0.009872296726595453,0.11365028994641213,-0.08731667820633039,0.9304197973612032
BFI_33,~,F3,0.008837731948186957,0.00880684855872493,0.10141766837131332,0.08714193581874564,0.9305586921857119
BFI_41,~,F4,1.0,0.09229297109053836,-,-,-
BFI_42,~,F4,1.3492757188616322,0.12419996586923554,0.43987239993321076,3.0674252784749303,0.0021591143365100596
BFI_43,~,F4,0.995661556463417,0.09140464593038486,0.36929510985881037,2.6961135684720663,0.007015374374105265
BFI_51,~,F5,1.0,0.10886759547696842,-,-,-
BFI_52,~,F5,1.1191536750136684,0.11930120038302072,0.26351762405477575,4.246978466900529,2.1667277471326685e-05
BFI_53,~,F5,2.242956703302365,0.2404048656298723,0.4290316300265445,5.227951848581337,1.7139813190958364e-07
ad_att_1,~,F6,1.0,1.0,-,-,-
ad_att_2,~,F6,0.026248648446549134,0.025500883301189797,0.014557015405423904,1.8031614114364265,0.07136286882121157
ad_att_3,~,F6,0.2888753726269745,0.30114631185226143,0.013590345563524496,21.2559254844144,0.0
ad_att_4,~,F6,0.8048232495341222,0.6953702641264187,0.016524926574826862,48.70359004871107,0.0
intent_1,~,F7,1.0,1.0,-,-,-
intent_2,~,F7,-0.08950447249789191,-0.038616428805113845,0.0943540964793312,-0.948601871425368,0.3428231388413281
intent_3,~,F7,0.06697942999220032,0.01720250467375866,0.08611555824887367,0.777785470516863,0.43669549486853554
F1,~~,F1,0.4831228843550224,1.0,0.03441341048676168,14.038797012775985,0.0
F1,~~,F2,0.07400394993733468,0.558490297387051,0.01582580155901445,4.6761580863185745,2.9229930871288445e-06
F2,~~,F2,0.03634301278031312,1.0,0.017914482503627677,2.028694536441395,0.04248941273584572
F3,~~,F3,1.9942254183541095,1.0,22.659682902363592,0.08800764895725913,0.9298705967458141
F3,~~,F1,-0.033119478690036494,-0.03374174692937666,0.022872555614670845,-1.4480007939010147,0.14761682856152492
F3,~~,F2,-0.01922528369008117,-0.0714126533841467,0.01573290730633631,-1.2219790859071769,0.22171553599689897
F3,~~,F5,-0.008672542064877213,-0.04032722936329771,0.010799426797235733,-0.8030557757282097,0.4219424973809427
F4,~~,F4,0.01694963669124345,1.0,0.015183039400982002,1.1163533362780336,0.2642709194491859
F4,~~,F1,-0.03812764159328845,-0.42133830227876956,0.014640470127930925,-2.6042634736124146,0.009207194709345723
F4,~~,F2,-0.015398399207492836,-0.620418749990899,0.00898287570730838,-1.7141948422208106,0.08649294784608608
F4,~~,F3,-0.0249661136069755,-0.13579495072268072,0.015656924558617977,-1.5945732836554374,0.11080769088092435
F4,~~,F5,-0.013288002106764217,-0.6702218550463318,0.006660907211394217,-1.9949237668464588,0.04605119492691867
F5,~~,F5,0.023191124740904345,1.0000000000000002,0.010760959677250805,2.1551167771566324,0.031152697166633825
F5,~~,F1,0.06408055546058196,0.60539183177137,0.013619797997191287,4.704956378140988,2.5392024114445633e-06
F5,~~,F2,0.018907818861134424,0.6512834821078434,0.007077754853058829,2.6714430283342594,0.007552589199610882
F6,~~,F6,6.324588599147472e-17,1.4817986680571015e-16,0.04088436762136342,1.5469454383068344e-15,0.9999999999999987
F7,~~,F7,0.023600027771197147,0.897582225195307,0.02599818399629962,0.9077567792292122,0.3640067380667449
BFI_11,~~,BFI_11,1.5364134048037035,0.7607753388990719,0.03796478647914624,40.46943357911875,0.0
BFI_12,~~,BFI_12,1.6665680036355732,0.8234200771918306,0.03720940281370092,44.788894138799115,0.0
BFI_13,~~,BFI_13,1.8679800425358501,0.9477091029169638,0.03770745698909532,49.538743570708455,0.0
BFI_21,~~,BFI_21,1.9604818128657282,0.9817995988864195,0.04243578773285678,46.19878450616309,0.0
BFI_22,~~,BFI_22,1.9297109781763002,0.9651107827221214,0.049116004413612475,39.28884283596556,0.0
BFI_23,~~,BFI_23,1.9905221891520628,0.9909005557470263,0.04080615580817539,48.77994875235191,0.0
BFI_31,~~,BFI_31,0.0,0.0,22.659647800918293,0.0,1.0
BFI_32,~~,BFI_32,2.0147957430497336,0.9999025377573418,0.040357653029328644,49.92351119961365,0.0
BFI_33,~~,BFI_33,2.008080669775782,0.9999224394184636,0.04020059123551806,49.95152081125736,0.0
BFI_41,~~,BFI_41,1.9729131937743254,0.9914820074872811,0.041959649998056965,47.019295771501106,0.0
BFI_42,~~,BFI_42,1.969551658820536,0.984574368478081,0.04669890527307098,42.175542387159695,0.0
BFI_43,~~,BFI_43,1.9943603901173197,0.9916451907023411,0.04233095129090212,47.11352637375857,0.0
BFI_51,~~,BFI_51,1.9335102497659857,0.9881478466550631,0.03968747477903648,48.71839945681241,0.0
BFI_52,~~,BFI_52,2.0118055837439357,0.9857672235871704,0.04167755910403893,48.27071515089526,0.0
BFI_53,~~,BFI_53,1.9020534690775959,0.942205500581483,0.055815610931449516,34.07744602812901,0.0
ad_att_1,~~,ad_att_1,0.0,0.0,0.006155094892076721,0.0,1.0
ad_att_2,~~,ad_att_2,0.45192255218530664,0.9993497049508592,0.009038452038592002,49.99999449083834,0.0
ad_att_3,~~,ad_att_3,0.35712595703241673,0.9093108988577804,0.007160963763487306,49.871214095996116,0.0
ad_att_4,~~,ad_att_4,0.29528999559442787,0.5164601957687545,0.007125579009823986,41.440842231329235,0.0
intent_1,~~,intent_1,0.0,0.0,0.025993870018701182,0.0,1.0
intent_2,~~,intent_2,0.14103776354750694,0.9985087714263396,0.0028284312701278326,49.86430640447146,0.0
intent_3,~~,intent_3,0.3984825040162994,0.9997040738329491,0.00797050321026209,49.99464819903155,0.0
